Model no.	Breast cancer type	Disease area	Disease features	Category	Type	Cells	Source	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	DOI or link	First author name	Year
117	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-468, MCF7, BT474, SKBR3, RPMI1640, HCC1806, HCC1143, HCC1937, HCC1954, HCC1187, MB468, T47D), or DMEM (MB231, BT549, MB436), MCF10CA1a	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	Morphology, EpCAM	Low	Yes	Supportive	10.1158/1535-7163.MCT-15-0201-T	Gilboa-Geffen, Adi	2015
118	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7/HER2	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	FASN, HER2, cytotoxicity	Low	Yes	Supportive	10.14670/HH-11-830	Corominas-Faja, Bruna	2017
119	BC	DCIS	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Primary cell culture	DCIS, SUM255, BC	Culture	3D	Spheroids	n/a	Disease therapy develop.; Drug develop./testing	morphology, Ki67	Low	Yes	Direct	10.4161/cc.27201	Farnie, Gillian	2014
120	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT474 , MCF/HER2	Culture	3D	Spheroids	n/a	Disease therapy develop.	morphology, HER2, HER3, cell-cycle	Low	Yes	n/a	10.3892/ol.2017.7493	Kitowska, Kamila	2018
121	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Supportive	10.1021/acs.organomet.8b00415	Starha, Pavel	2018
122	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT474 , MCF7	Culture	2D	n/a	n/a	Disease therapy develop.	Her-2/neu	Low	Yes	Supportive	10.1063/1.5001586	Bragina, O.	2017
123	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	Ig58/59 and Ig65/66, morphology, Adherent Junction, cell migration	Low	Yes	Supportive	10.1038/onc.2014.358	Shriver, M.	2015
124	BC	BC	Cancer Initiation and Development	In silico	Algorithms	n/a	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp./theor.)	ER and HER-2, cancer incidence, mutation load	High	n/a	n/a	10.1371/journal.pone.0152298	Chapa, Joaquin	2016
125	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	T47D	MPS	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	morphology, viability, tumorigenicity	Low	n/a	n/a	10.1039/c6lc00062b	Chen, Yu-Chih	2016
126	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MDA-MB-231	MPS	3D	Scaffolds	n/a	Disease mechanism (exp./theor.)	invasion	Low	Yes	Direct	10.1007/s10544-017-0234-8	Amirabadi, H. Eslami	2017
127	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10A	Culture	3D	Organoids	n/a	Model/method develop.(exp.)	transfection efficiency, P63, PTEN	High	Yes	n/a	10.1093/nar/gky030	Laperrousaz, Bastien	2018
129	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-134, SUM44, MDA-MB-330, BCK4, MCF7, T47D, MDA-MB-231	Culture	2D/3D	Spheroids	n/a	Disease mechanism (exp./theor.)	morphology, cell-adherence, cell migration	Low	Yes	Direct	10.1158/0008-5472.CAN-18-1416	Tasdemir, Nilgun	2018
130	BC	IDC / ILC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7 , MDA-MB-231	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	cytotoxicity, Wnt/β-catenin	Low	Yes	Direct	10.1097/CAD.0000000000000511	Aouad, Patrick	2017
131	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231 , HBL-100	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	cytotoxicity, HIF-1, HIF-2, CAIX, NHE1, genome-wide protein profiling	Low	Yes	Supportive	10.18632/oncotarget.17143	Meehan, James	2017
132	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	3D	Spheroids	n/a	Drug develop./testing	invasion, NF-κB/MMP-2	Low	Yes	Direct	10.1016/j.bbrc.2017.02.022	Ukaji, Tamami	2017
133	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231, CAFs	Co-culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	morphology, invasion, RhoA/ROCK	Low	Yes	Supportive	10.18632/oncotarget.23735	Daubriac, Julien	2018
134	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, CAF	Co-culture	3D	Spheroids	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1016/j.actbio.2018.05.055	Brancato, Virginia	2018
135	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Stem-cell like	MDA-MB-231	Culture	3D	Spheroids	n/a	Drug develop./testing	colony formation, CD44, CD24, ESA, PI3K/Akt, MEK/ERK, GSK3β/β-catenin and TGF-β/Smad, E-cadherin, α-smooth muscle actin (α-SMA) and Claudin-1, Slug, Snail and Fibronectin	Low	Yes	Supportive	10.3892/ijo.2016.3351	Liu, Yanchen	2016
138	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231 , MCF10A-NeuN	Co-culture	3D	Scaffolds/Spheroids	n/a	Drug develop./testing; Model/method develop. (exp.)	morphology	Low	Yes	Direct	10.1088/1758-5090/aafc49	Swaminathan, Swathi	2019
139	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	SUM149PT , SUM190PT, SUM1315MO2, SUM1315MO2, SUM149PT	Culture	3D	Spheroids	n/a	Drug develop./testing	morphology, OPG, angiogenesis, CD24, CD44, survival kinases	Low	Yes	n/a	10.1186/s12885-015-1837-1	Goswami, Sudeshna	2015
140	BC	BC	Cancer Initiation and Development	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp./theor.); Model/method develop. (theor.)	breast tumor mass structure	Low	Yes	n/a	10.1118/1.4905232	de Sisternes, Luis	2015
141	BC	BC	Cancer Initiation and Development	In vitro	Cells	Primary cell culture	HUVEC	Co-culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	viability, morphology, proteolytic activity, number of cellular branch points, cytokines, CD95L, phospho-Src, phosphos-FAK(Y)397, phospho-ERK1/2, TGF-β1, of E-cadherin, N-cadherin, EMT	Low	Yes	Supportive	10.18632/oncotarget.15170	Andrade, Sheila Siqueira	2017
143	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	MPS	3D	Organoids	n/a	Model/method develop.(exp.)	cell proliferation, angiogenesis, cell migration, intravasation	Low	Yes	Direct	10.1039/c8lc00596f	Shirure, Venktesh S.	2018
144	BC	BC	Metastasis	In silico	Simulation	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	cell aggregation, cooperative migration, CSF-1/CSF-1R autocrine signaling	Low	n/a	n/a	10.1016/j.jtbi.2014.04.031	Knutsdottir, Hildur	2014
145	BC	BC	Cancer Initiation and Development	In silico	Computational	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	CDK, cyclin E1	Low	n/a	n/a	10.1021/bi5004052	Rath, Soumya Lipsa	2014
147	BC	BC	Cancer Initiation and Development	In vitro	Cells	Primary cell culture	MDA-MB-231, MCF10A	MPS	3D	Spheroids	n/a	Disease mechanism (exp./theor.); Disease therapy develop.; Model/method develop. (exp.)	invasion, AURKA, ERK1/2	Low	Yes	Direct	10.1038/s41598-017-02623-1	Xia, Jiang-Long	2017
148	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Scaffolds	n/a	Model/method develop.(exp.)	morphology	Low	Yes	Direct	10.1016/j.matchemphys.2019.01.022	Luo, Honglin	2019
149	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	LM2-4175, HUVEC	Co-culture/MPS	3D	Scaffolds	n/a	Model/method develop.(exp.)	cell migration	Low	Yes	Direct	10.1038/s41598-018-30776-0	Bertulli, Cristina	2018
150	BC	BC	Cancer Initiation and Development	In vitro	Cell free	n/a	MCF7	n/a	n/a	n/a	n/a	Disease mechanism (exp./theor.)	Single Nucleotide Variants	Low	Yes	Direct	10.1186/s13073-016-0382-0	Bahreini, Amir	2016
151	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	morphology, CYP1A1, MMP-1, AHR, NF-κB	Low	Yes	Direct	10.1093/hmg/ddw329	Chi Huu Nguyen	2016
152	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231,	Culture	2D	n/a	n/a	Diagnosis of disease; Disease mechanism (exp./theor.)	PCK, ING1	High	Yes	Supportive	10.18632/oncotarget.1988	Thakur, Satbir	2014
153	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	cellular proliferation, migration,  invasion, HSF2, ALG3	Low	Yes	Direct	10.12659/MSM.907461	Yang, Yongde	2018
154	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	HBL-100	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	cytotoxicity, cell migration, cell proliferation, morphology, CD44, CD24	Low	Yes	Direct	10.1002/tox.22659	Fararjeh, Abdul-Fattah Salah	2019
156	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells/Primary cell culture	SKBR3 , MCF7	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	HER2, HER3	High	Yes	Direct	10.18632/oncotarget.9963	Weitsman, Gregory	2016
157	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	HCC70	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology	Low	Yes	Direct	10.7717/peerj.4340	Jogalekar, Manasi P.	2018
158	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells/Stem-cell like	MDA-MB-231, MCF7	Culture	2D/3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, cytotoxicity, ALDH1A3, SOX2, OCT4, NANOG	Low	Yes	Direct	10.1038/s41598-017-10863-4	Reynolds, Daniel S.	2017
161	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT474	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1016/j.biologicals.2016.12.006	Dakshinamurthy, Pravinkumar	2017
162	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7	Culture	3D	Spheroids	n/a	Disease therapy develop.	nanotube penetration, morphology	Low	Yes	Direct	10.1016/j.carbon.2015.08.024	Jena, Prakrit V.	2016
163	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	SUM159, MDA-MB-231, 293T, Hs785bst , Hs371.tCAFs	Co-culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, drug penetration, cytotoxicity	Low	Yes	Direct	10.1038/srep06468	Jaganathan, Hamsa	2014
164	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT549, MDA-MB-468CAL120	Culture	3D	Spheroids	n/a	Model/method qualification	morphology, proliferation, cell meatbolism	Low	Yes	Direct	10.1126/sciadv.aau7314	Voorde, Johan Vande	2019
165	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-468	Culture	3D	Scaffolds	n/a	Model/method develop.(exp.)	invasion, cytotoxicity	Low	Yes	Direct	10.1021/acsami.6b06309	Arya, Anuradha D.	2016
166	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	3D	Scaffolds	n/a	Model/method develop.(exp.)	morphology, proliferation, genome-wide RNA profile, 	Low	Yes	Direct	10.1073/pnas.1410996111	Dudley, David T.	2014
167	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, PI3K, Src, EGFR, Tie2, lck, lyn, RTK5, FGFR1, Abl,  Flt	Low	Yes	Direct	10.1021/tx500518j	Wang, Hui-Chun	2015
168	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MCF10	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	Giant obscurin, PI3K pathway, β-catenin, E-cadherin, proliferation, motility and invasion, EMT	Low	Yes	Direct	10.18632/oncotarget.9985	Shriver, Marey	2016
169	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	viability, migration, invasion	Low	Yes	Direct	10.1158/1535-7163.MCT-15-0907	Kashyap, Abhishek S.	2016
170	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, cell adhesion, proliferation, MCAM, ITGA2, ITGA3, ITGA4, ITGAV, ITGB1, ITGB3, FGF1, NFKB1, PI3K/Akt pathway	Low	Yes	Direct	10.1038/s41598-017-07082-2	Gimenes, Sarah N. C.	2017
171	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, PARP, BAX, Bcl2, ROS, Pi3K/AKT pathway	Low	Yes	Direct	10.1016/j.sajb.2014.03.010	Esmaeili, Mohammad Ali	2014
172	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7 , MDA-MB-231	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1002/pros.23162	Akinboye, Emmanuel S.	2016
173	BC	BC	Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity	Low	Yes	Direct	10.1002/cmdc.201800098	Boscutti, Giulia	2018
174	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	SKBR3, MDA-MB-231	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	morphology, cytotoxicity, MMP2	Low	Yes	Direct	10.1016/j.jcis.2015.03.049	Parhi, Priyambada	2015
175	BC	BC	Pharmacological/Physical Treatment; Microenvironment	In vitro	Cells	Immortalised cells/Primary cell culture	MCF10, MCF7	Culture	3D	Spheroids	n/a	Drug develop./testing; Model/method develop. (exp.)	cytotoxicity, MMP2	Medium	Yes	Supportive	10.1016/j.actbio.2017.05.004	Brancato, Virginia	2017
176	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF10, MCF10-Neun, HUVEC	Co-culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, tube-like structure fomation	Low	Yes	Direct	10.1021/acsbiomaterials.6b00624	Swaminathan, Swathi	2017
177	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	SKBR3, BT474, HCC1569, MCF7, MCF10A	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	cytotoxicity, RNA profile, cell cylce, PERK, phospho-PERK, PDI, BiP, eIF2α, phospho-eIF2α, DDIT3/CHOP, HER2, phospho-HER2, HER3, phospho-HER3, EGFR, phospho-EGFR	Low	Yes	Direct	10.1186/s12885-016-2611-8	Baumann, Jan	2016
183	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D/3D	Spheroids	n/a	Drug develop./testing; Model/method develop. (exp.)	morphology, cytotoxicity	Low	Yes	Direct	10.1007/s10544-014-9918-5	Yu, Linfen	2015
185	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MCF7, SUM159 , mCherry-labeled SUM159	Co-culture/MPS	3D	Scaffolds	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	invasion, migration, EGF Receptors, morphology, GFR and pEGFR	Low	Yes	Direct	10.1038/srep34094	Danh Truong	2016
188	BC	BC	Circulating Cancer Cells/DNA Identification and Profiling	In vitro	Cells	Primary cell culture	liquid biopsy	Culture	2D	n/a	Biopsies	Diagnosis of disease; Model/method develop. (exp.); Model/method qualification	HER2, EpCAM	High	Yes	Direct	10.1039/c3lc51039e	Galletti, Giuseppe	2014
189	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Organ slice	Drug develop./testing	morphology, viability, Ki67, cytotoxicity, LDH	Low	Yes	Direct	10.1155/2015/618021	Edith Carranza-Torres, Irma	2015
191	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	3D	Spheroids	n/a	Drug develop./testing; Model/method develop. (exp.)	morphology, cytotoxicity	Low	Yes	Direct	10.1016/j.nano.2015.02.009	Kang, AhRan	2015
192	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	T47D, MDA-MB-231	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.); Model/method qualification	metabolic activity	Low	Yes	Direct	10.18383/j.tom.2016.00157	Cavnar, Stephen P.	2016
194	BC	BC	Metastasis; Microenvironment	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	Culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	BST-2, cell migration, invasion	Low	Yes	Direct	10.18632/oncotarget.22753	Naushad, Wasifa	2017
197	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Co-culture/MPS	3D	Spheroids	n/a	Disease mechanism (exp./theor.); Model/method develop. (exp.)	morphology, migration	Low	Yes	Direct	10.1063/1.5016433	Rogers, Matthew	2018
198	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-231	Culture	2D/3D	Scaffolds	n/a	Model/method develop.(exp.)	morphology, Infra-red spectral responses	Low	Yes	Supportive	10.1039/c4an01833h	Smolina, Margarita	2015
199	BC	BC	Cancer Initiation and Development	In silico	Algorithms	n/a	n/a	n/a	n/a	n/a	n/a	Model/method develop.(theor.)	metabolic activity, NAD(P)H and FAD	Low	Yes	Supportive	10.1117/12.2252499	Heaster, Tiffany M.	2017
200	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, T47D	Culture	3D	Spheroids	n/a	Model/method develop.(exp.)	morphology, viability	Low	Yes	Direct	10.1021/acs.biomac.7b01422	Baker, Alexander E. G.	2017
202	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	BT474, MCF7, HCC1428, MDA-MB-175, MCF12A, T47D, MCF10A, HCC1954, MDA-MB-157, HCC1806, MDA-MB-436, MDA-MB-231, HCC1569, SUM-159PT, HCC38, HS578T	Culture	2D	n/a	n/a	Disease mechanism (exp./theor.)	ITGA1, ITGA11, ITGB1, ITGA5, ITGB1, HIF-1,HIF-2, migration, invasion	Medium	Yes	Direct	10.1158/1541-7786.MCR-16-0338	Ju, Julia A.	2017
203	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	SKBR3 , T47D	Culture	2D	n/a	n/a	Drug develop./testing	cytotoxicity, α-ESA, HER2/HER3, PTEN, Akt, GSK-3β, Bcl-2, NF-κB, Akt, BAD, Bcl-2	Low	Yes	Direct	10.3892/mmr.2014.1892	Zhuo, Ren-Jie	2014
204	IBC/BC	IBC/DCIS	Cancer Initiation and Development	In vitro	Cells	Primary cell culture	liquid biopsy	Culture	2D	n/a	n/a	Drug develop./testing	anti-HER3 Th1 and correlation with clinical outcome	Medium	Yes	Direct	10.1245/s10434-016-5584-6	Fracol, Megan	2017
205	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	DFs, MDA-MB-231	Co-culture	3D	Spheroids	n/a	Disease mechanism (exp./theor.)	morphology, CD90, viability, cell proliferation, cell cycle	Low	Yes	Direct	10.1073/pnas.1612290113	Bartosh, Thomas J.	2016
206	BC	BC	Microenvironment-Tumor Interactions	In vitro	Cells	Immortalised cells	MDA-MB-231, MCF7, MDA-MB-157 , BT549, MDA-MB-231 , MCF7	MPS	2D	n/a	n/a	Model/method develop.(exp.)	migration, extravasation, ROS, ERK1/2	Low	Yes	Direct	10.1016/j.canlet.2016.12.001	Ma, Shijun	2017
207	BC	BC	Cancer Initiation and Development; Pharmacological/Physical Treatment	In vitro	Cells	Immortalised cells	MCF7	Culture	2D/3D	Spheroids	n/a	Drug develop./testing	nanostructures penetration, cytotoxicity	Low	Yes	Direct	10.1016/j.ejpb.2019.02.016	Alves, Catia G.	2019
208	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, T47D, MDA-MB-231, BT549	Culture	2D	n/a	n/a	Drug develop./testing	Chk1, cytotoxicity, γ-H2AX, H3K9me3/S10p, CHEK1 	Low	Yes	Direct	10.1007/s10549-018-05079-7	Dinkelborg, Patrick H.	2019
209	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MCF7, MDA-MB-231	Culture	3D	Scaffolds	n/a	Disease mechanism (exp./theor.)	YP4Z2P, CYP4Z1, miR-211, miR-125a-3p, miR-197, miR-1226, miR-204, ERK1/2, PI3K/Akt, angiogenesis	Medium	Yes	Direct	10.1007/s10549-015-3298-2	Zheng, Lufeng	2015
210	BC	BC	Cancer Initiation and Development	In vitro	Ex vivo	n/a	BC	n/a	n/a	n/a	Organ slice	Diagnosis of disease; Model/method qualification	ERBB2, ESR1, PGR, MKI67 mRNA levels	Medium	Yes	Direct	10.1186/s12885-016-2476-x	Laible, Mark	2016
212	BC	BC	Cancer Initiation and Development	In vitro	Cells/Ex vivo	Immortalised cells	MCF7, MDA-MB-231, endothelial cells	Co-culture	2D	n/a	Biopsies	Disease mechanism (exp./theor.)	miR-20a expression and correlation with clinical outcome, VEGFA, THBS1	Medium Low	Yes	Supportive	10.1371/journal.pone.0194638	Luengo-Gil, Gines	2018
213	BC	BC	Cancer Initiation and Development	In vitro	Cells	Immortalised cells	MDA-MB-468MCF7, MDA-MB-231, HCC70, HID-28, BT474	Culture	2D	n/a	n/a	Drug develop./testing	morphology, cytotoxicity, AKT, ERK, AKT, PRA S40, GSK3B, S6	Low	Yes	n/a	10.1158/1535-7163.MCT-14-0406	Hancox, Urs	2015
