Model no.	Disease Area	Disease Feature	Category	Type	Application	Biological Endpoints	Throughput	Potential	Notes	Reference	DOI	Authors	Year	Citation Index (Scopus)	Citation Index  (WOS)
120	Respiratory Disease - General	Infection	2D or 3D Culture	Human airway epithelium (NuLi-1)	Model development - experim	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Development		A proposed integrated approach for the preclinical evaluation of phage therapy in Pseudomonas infections.	https://doi.org/10.1038/srep28115	Danis-Wlodarczyk, Katarzyna; Vandenheuvel, Dieter; Jang, Ho Bin; Briers, Yves; Olszak, Tomasz; Arabski, Michal; Wasik, Slawomir; Drabik, Marcin; Higgins, Gerard; Tyrrell, Jean; Harvey, Brian J; Noben, Jean-Paul; Lavigne, Rob; Drulis-Kawa, Zuzanna	2016	22	22
120	Respiratory Disease - General	Infection	2D or 3D Culture	CF cell line (CuFi-1)	Model development - experim	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Development		A proposed integrated approach for the preclinical evaluation of phage therapy in Pseudomonas infections.	https://doi.org/10.1038/srep28115	Danis-Wlodarczyk, Katarzyna; Vandenheuvel, Dieter; Jang, Ho Bin; Briers, Yves; Olszak, Tomasz; Arabski, Michal; Wasik, Slawomir; Drabik, Marcin; Higgins, Gerard; Tyrrell, Jean; Harvey, Brian J; Noben, Jean-Paul; Lavigne, Rob; Drulis-Kawa, Zuzanna	2016	22	22
121	Toxicity	Barrier Function / Integrity	2D or 3D Culture	Calu-3	Toxicity	Trans Epithelial Electrical Resistance (TEER)	High Throughput(Automated)	Toxic insult/response		Potential in vitro model for testing the effect of exposure to nanoparticles on the lung alveolar epithelial barrier.	https://doi.org/10.1016/j.sbsr.2014.12.002	Derk, Raymond; Davidson, Donna C; Manke, Amruta; Stueckle, Todd A; Rojanasakul, Yon; Wang, Liying	2015	5	-
122	Respiratory Disease - General	Toxicity	Bioreactor	A549 cell line	Drug development/ testing	Tissue / Cell Viability	Medium / Low (Lab scale)	Drug Discovery		Development of an in vitro exposure model for investigating the biological effects of therapeutic aerosols on human cells from the respiratory tract	https://doi.org/10.1016/j.etp.2010.04.013	Deschl, U.; Vogel, J.; Aufderheide, M.	2011	15	12
123	COPD	Inflammation	2D or 3D co-culture	Human Primary Pulmonary Artery Smooth Muscle Cells (PASMC) 	Disease mechanism (exp/theor)	Airway remodelling	Medium / Low (Lab scale)	Disease Progression		Plasticity of CD133+ cells: role in pulmonary vascular remodeling.	https://doi.org/10.1016/j.cardiores.2007.08.007	Diez, Marta; Barbera, Joan A; Ferrer, Elisabet; Fernandez-Lloris, Raquel; Pizarro, Sandra; Roca, Josep; Peinado, Victor I	2007	21	22
124	Respiratory Disease - General	Sensitisation	2D or 3D Culture	16HBE14o- Human Bronchial Epithelial Cell Line	Toxicity	Gene expression	Medium / Low (Lab scale)	Biomarker Discovery		Development of an in vitro test to identify respiratory sensitizers in bronchial epithelial cells using gene expression profiling	https://doi.org/10.1016/j.tiv.2015.10.010	Dik, Sander; Pennings, Jeroen L. A.; van Loveren, Henk; Ezendam, Janine	2015	5	5
124	Respiratory Disease - General	Sensitisation	2D or 3D Culture	16HBE14o- Human Bronchial Epithelial Cell Line	Toxicity	mRNA expression	Medium / Low (Lab scale)	Biomarker Discovery		Development of an in vitro test to identify respiratory sensitizers in bronchial epithelial cells using gene expression profiling	https://doi.org/10.1016/j.tiv.2015.10.010	Dik, Sander; Pennings, Jeroen L. A.; van Loveren, Henk; Ezendam, Janine	2015	5	5
125	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	Human/patient primary or stem cells 	Human Small Airway Epithelial Cells (SAEC)	Disease mechanism (exp/theor)	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Normal Human Lung Epithelial Cells Inhibit Transforming Growth Factor-beta Induced Myofibroblast Differentiation via Prostaglandin E-2	https://doi.org/10.1371/journal.pone.0135266	Epa, Amali P.; Thatcher, Thomas H.; Pollock, Stephen J.; Wahl, Lindsay A.; Lyda, Elizabeth; Kottmann, R. M.; Phipps, Richard P.; Sime, Patricia J.	2015	19	19
125	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	2D or 3D Culture	Human Small Airway Epithelial Cells (SAEC)	Disease mechanism (exp/theor)	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Normal Human Lung Epithelial Cells Inhibit Transforming Growth Factor-beta Induced Myofibroblast Differentiation via Prostaglandin E-2	https://doi.org/10.1371/journal.pone.0135266	Epa, Amali P.; Thatcher, Thomas H.; Pollock, Stephen J.; Wahl, Lindsay A.; Lyda, Elizabeth; Kottmann, R. M.; Phipps, Richard P.; Sime, Patricia J.	2015	19	19
125	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	2D or 3D Culture	Primary human bronchial fibroblasts	Disease mechanism (exp/theor)	Protein Expression	Medium / Low (Lab scale)	Mechanistic Studies		Normal Human Lung Epithelial Cells Inhibit Transforming Growth Factor-beta Induced Myofibroblast Differentiation via Prostaglandin E-2	https://doi.org/10.1371/journal.pone.0135266	Epa, Amali P.; Thatcher, Thomas H.; Pollock, Stephen J.; Wahl, Lindsay A.; Lyda, Elizabeth; Kottmann, R. M.; Phipps, Richard P.; Sime, Patricia J.	2015	19	19
125	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	2D or 3D Culture	Human Small Airway Epithelial Cells (SAEC)	Disease mechanism (exp/theor)	Cell proliferation	Medium / Low (Lab scale)	Mechanistic Studies		Normal Human Lung Epithelial Cells Inhibit Transforming Growth Factor-beta Induced Myofibroblast Differentiation via Prostaglandin E-2	https://doi.org/10.1371/journal.pone.0135266	Epa, Amali P.; Thatcher, Thomas H.; Pollock, Stephen J.; Wahl, Lindsay A.; Lyda, Elizabeth; Kottmann, R. M.; Phipps, Richard P.; Sime, Patricia J.	2015	19	19
125	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	2D or 3D Culture	Primary human bronchial fibroblasts	Disease mechanism (exp/theor)	Cell proliferation	Medium / Low (Lab scale)	Mechanistic Studies		Normal Human Lung Epithelial Cells Inhibit Transforming Growth Factor-beta Induced Myofibroblast Differentiation via Prostaglandin E-2	https://doi.org/10.1371/journal.pone.0135266	Epa, Amali P.; Thatcher, Thomas H.; Pollock, Stephen J.; Wahl, Lindsay A.; Lyda, Elizabeth; Kottmann, R. M.; Phipps, Richard P.; Sime, Patricia J.	2015	19	19
126	Asthma	Protein expression	Human/patient primary or stem cells 	BAL Eosinophils	Disease mechanism (exp/theor)	Cytokine Release	Medium / Low (Lab scale)	Unknown		Human eosinophils release IL-1├ƒ and increase expression of IL-17A in activated CD4+ T lymphocytes	https://doi.org/10.1111/j.1365-2222.2012.04060.x	Esnault, S.; Kelly, E.A.B.; Nettenstrom, L.M.; Cook, E.B.; Seroogy, C.M.; Jarjour, N.N.	2012	31	32
127	Asthma	Inflammation	Human/patient primary or stem cells 	Human fetal airway smooth muscle (ASM) cells	Disease mechanism (exp/theor)	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		TLR3 activation increases chemokine expression in human fetal airway smooth muscle cells	https://doi.org/10.1152/ajplung.00151.2015	Faksh, Arij; Britt, Rodney D., Jr.; Vogel, Elizabeth R.; Thompson, Michael A.; Pandya, Hitesh C.; Martin, Richard J.; Pabelick, Christina M.; Prakash, Y. S.	2016	6	6
128	Asthma	Inflammation	2D or 3D Culture	MCR5 Fibroblasts	Disease mechanism (exp/theor)	Cytokine Release	Medium / Low (Lab scale)	Unknown		Resistin-like molecule-beta (RELM-beta) targets airways fibroblasts to effect remodelling in asthma: from mouse to man	https://doi.org/10.1111/cea.12481	Fang, C. L.; Yin, L. J.; Sharma, S.; Kierstein, S.; Wu, H. F.; Eid, G.; Haczku, A.; Corrigan, C. J.; Ying, S.	2015	9	9
128	Asthma	Inflammation	2D or 3D Culture	MCR5 Fibroblasts	Disease mechanism (exp/theor)	mRNA expression	Medium / Low (Lab scale)	Unknown		Resistin-like molecule-beta (RELM-beta) targets airways fibroblasts to effect remodelling in asthma: from mouse to man	https://doi.org/10.1111/cea.12481	Fang, C. L.; Yin, L. J.; Sharma, S.; Kierstein, S.; Wu, H. F.; Eid, G.; Haczku, A.; Corrigan, C. J.; Ying, S.	2015	9	9
129	Pulmonary Fibrosis	Healing / repair	Chip or microfluidic system	A549 cell line	Disease mechanism (exp/theor)	Tissue / Cell Viability	Medium / Low (Lab scale)	High Potential to become a disease model		The potential of microfluidic lung epithelial wounding: towards in vivo-like alveolar microinjuries.	https://doi.org/10.1039/c4ib00149d	Felder, M; Stucki, A O; Stucki, J D; Geiser, T; Guenat, O T	2014	9	8
130	Cystic Fibrosis	Infection	2D or 3D co-culture	16HBE14o- Human Bronchial Epithelial Cell Line	Disease mechanism (exp/theor)	mRNA expression	Medium / Low (Lab scale)	Unknown		Coculture of Staphylococcus aureus with Pseudomonas aeruginosa Drives S. aureus towards Fermentative Metabolism and Reduced Viability in a Cystic Fibrosis Model.	https://doi.org/10.1128/JB.00059-15	Filkins, Laura M; Graber, Jyoti A; Olson, Daniel G; Dolben, Emily L; Lynd, Lee R; Bhuju, Sabin; O'Toole, George A	2015	72	67
131	Respiratory Disease - General	Exploratory/ no specific feature	Human/patient primary or stem cells 	induced Pluripotent stem cells (iPSCs)	Model development - experim	Other	Medium / Low (Lab scale)	High Potential to become a disease model		Generation of multiciliated cells in functional airway epithelia from human induced pluripotent stem cells.	https://doi.org/10.1073/pnas.1403470111	Firth, Amy L; Dargitz, Carl T; Qualls, Susan J; Menon, Tushar; Wright, Rebecca; Singer, Oded; Gage, Fred H; Khanna, Ajai; Verma, Inder M	2014	86	80
132	Asthma	Inflammation	2D or 3D Culture	Primary human tracheobronchial epithelial cells 	Model development - experim	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		Asthmatic Airway Epithelium Is Intrinsically Inflammatory and Mitotically Dyssynchronous	https://doi.org/10.1165/rcmb.2010-0029OC	Freishtat, Robert J.; Watson, Alan M.; Benton, Angela S.; Iqbal, Sabah F.; Pillai, Dinesh K.; Rose, Mary C.; Hoffman, Eric P.	2011	48	47
132	Asthma	Inflammation	2D or 3D Culture	Primary human tracheobronchial epithelial cells 	Model development - experim	Inflammatory Mediators	Medium / Low (Lab scale)	Mechanistic Studies		Asthmatic Airway Epithelium Is Intrinsically Inflammatory and Mitotically Dyssynchronous	https://doi.org/10.1165/rcmb.2010-0029OC	Freishtat, Robert J.; Watson, Alan M.; Benton, Angela S.; Iqbal, Sabah F.; Pillai, Dinesh K.; Rose, Mary C.; Hoffman, Eric P.	2011	48	47
133	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	Human/patient primary or stem cells 	Primary human bronchial fibroblasts	Disease mechanism (exp/theor)	Cytokine Release	Medium / Low (Lab scale)	Mechanistic Studies		Human lung fibroblasts may modulate dendritic cell phenotype and function: results from a pilot in vitro study.	https://doi.org/10.1186/s12931-016-0345-4	Freynet, Olivia; Marchal-Somme, Joelle; Jean-Louis, Francette; Mailleux, Arnaud; Crestani, Bruno; Soler, Paul; Michel, Laurence	2016	3	4
133	Pulmonary Fibrosis	Idiopathic Pulmonary Fibrosis (IPF)	Human/patient primary or stem cells 	Primary human bronchial fibroblasts	Disease mechanism (exp/theor)	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Mechanistic Studies		Human lung fibroblasts may modulate dendritic cell phenotype and function: results from a pilot in vitro study.	https://doi.org/10.1186/s12931-016-0345-4	Freynet, Olivia; Marchal-Somme, Joelle; Jean-Louis, Francette; Mailleux, Arnaud; Crestani, Bruno; Soler, Paul; Michel, Laurence	2016	3	4
134	COPD	Healing / repair	Human/patient ex-vivo tissue or body fluids 	Endobronchial biopsy specimens (EBBs)	Disease therapy development	Protein Expression	Medium / Low (Lab scale)	Drug Development		Supplementing defect in club cell secretory protein attenuates airway inflammation in COPD.	https://doi.org/10.1378/chest.14-1174	Gamez, Anne Sophie; Gras, Delphine; Petit, Aurelie; Knabe, Lucie; Molinari, Nicolas; Vachier, Isabelle; Chanez, Pascal; Bourdin, Arnaud	2015	16	14
134	COPD	Healing / repair	Human/patient ex-vivo tissue or body fluids 	Endobronchial biopsy specimens (EBBs)	Disease therapy development	Cytokine Release	Medium / Low (Lab scale)	Drug Development		Supplementing defect in club cell secretory protein attenuates airway inflammation in COPD.	https://doi.org/10.1378/chest.14-1174	Gamez, Anne Sophie; Gras, Delphine; Petit, Aurelie; Knabe, Lucie; Molinari, Nicolas; Vachier, Isabelle; Chanez, Pascal; Bourdin, Arnaud	2015	16	14
135	COPD	Tissue/Cell Viability	Human/patient primary or stem cells 	HBEC	Diagnosis of disease	Apoptosis	Medium / Low (Lab scale)	High Potential to become a disease model		The role of bronchial epithelial cell apoptosis in the pathogenesis of COPD	https://doi.org/10.1007/s11033-014-3403-3	Gogebakan, B.; Bayraktar, R.; Ulasli, M.; Oztuzcu, S.; Tasdemir, D.; Bayram, H.	2014	7	9
135	COPD	Tissue/Cell Viability	Human/patient primary or stem cells 	HBEC	Diagnosis of disease	mRNA expression	Medium / Low (Lab scale)	High Potential to become a disease model		The role of bronchial epithelial cell apoptosis in the pathogenesis of COPD	https://doi.org/10.1007/s11033-014-3403-3	Gogebakan, B.; Bayraktar, R.; Ulasli, M.; Oztuzcu, S.; Tasdemir, D.; Bayram, H.	2014	7	9
136	COPD	Barrier Function / Integrity	Human/patient primary or stem cells 	HBEC	Comparison of barrier integrity 	Imaging	Medium / Low (Lab scale)	Drug Development		Imprinting of the COPD airway epithelium for dedifferentiation and mesenchymal transition.	https://doi.org/10.1183/09031936.00135814	Gohy, Sophie T; Hupin, Cloe; Fregimilicka, Chantal; Detry, Bruno R; Bouzin, Caroline; Gaide Chevronay, Heloise; Lecocq, Marylene; Weynand, Birgit; Ladjemi, Maha Z; Pierreux, Christophe E; Birembaut, Philippe; Polette, Myriam; Pilette, Charles	2015	47	44
136	COPD	Barrier Function / Integrity	Human/patient primary or stem cells 	HBEC	Comparison of barrier integrity 	Protein Expression	Medium / Low (Lab scale)	Drug Development		Imprinting of the COPD airway epithelium for dedifferentiation and mesenchymal transition.	https://doi.org/10.1183/09031936.00135814	Gohy, Sophie T; Hupin, Cloe; Fregimilicka, Chantal; Detry, Bruno R; Bouzin, Caroline; Gaide Chevronay, Heloise; Lecocq, Marylene; Weynand, Birgit; Ladjemi, Maha Z; Pierreux, Christophe E; Birembaut, Philippe; Polette, Myriam; Pilette, Charles	2015	47	44
136	COPD	Barrier Function / Integrity	Human/patient primary or stem cells 	HBEC	Comparison of barrier integrity 	mRNA expression	Medium / Low (Lab scale)	Drug Development		Imprinting of the COPD airway epithelium for dedifferentiation and mesenchymal transition.	https://doi.org/10.1183/09031936.00135814	Gohy, Sophie T; Hupin, Cloe; Fregimilicka, Chantal; Detry, Bruno R; Bouzin, Caroline; Gaide Chevronay, Heloise; Lecocq, Marylene; Weynand, Birgit; Ladjemi, Maha Z; Pierreux, Christophe E; Birembaut, Philippe; Polette, Myriam; Pilette, Charles	2015	47	44
136	COPD	Barrier Function / Integrity	Human/patient primary or stem cells 	HBEC	Comparison of barrier integrity 	Immunohistochemistry/immunofluorescence	Medium / Low (Lab scale)	Drug Development		Imprinting of the COPD airway epithelium for dedifferentiation and mesenchymal transition.	https://doi.org/10.1183/09031936.00135814	Gohy, Sophie T; Hupin, Cloe; Fregimilicka, Chantal; Detry, Bruno R; Bouzin, Caroline; Gaide Chevronay, Heloise; Lecocq, Marylene; Weynand, Birgit; Ladjemi, Maha Z; Pierreux, Christophe E; Birembaut, Philippe; Polette, Myriam; Pilette, Charles	2015	47	44
137	Cystic Fibrosis	Exploratory/ no specific feature	2D or 3D Culture	Human Airway Epithelial cells (CFBE41o)	Model development - experim	CTFR Activity	Medium / Low (Lab scale)	High Potential to become a disease model		Creation and characterization of an airway epithelial cell line for stable expression of CFTR variants	https://doi.org/10.1016/j.jcf.2015.11.010	Gottschalk, Laura B.; Vecchio-Pagan, Briana; Sharma, Neeraj; Han, Sangwoo T.; Franca, Arianna; Wohler, Elizabeth S.; Batista, Denise A. S.; Goff, Loyal A.; Cutting, Garry R.	2016	7	9
137	Cystic Fibrosis	Exploratory/ no specific feature	2D or 3D Culture	Cystic Fibrosis Bronchial Epithelial Cell Line (CF8Flp)	Model development - experim	CTFR Activity	Medium / Low (Lab scale)	High Potential to become a disease model		Creation and characterization of an airway epithelial cell line for stable expression of CFTR variants	https://doi.org/10.1016/j.jcf.2015.11.010	Gottschalk, Laura B.; Vecchio-Pagan, Briana; Sharma, Neeraj; Han, Sangwoo T.; Franca, Arianna; Wohler, Elizabeth S.; Batista, Denise A. S.; Goff, Loyal A.; Cutting, Garry R.	2016	7	9
137	Cystic Fibrosis	Exploratory/ no specific feature	2D or 3D Culture	Cystic Fibrosis Bronchial Epithelial Cell Line (CF8Flp)	Model development - experim	mRNA expression	Medium / Low (Lab scale)	High Potential to become a disease model		Creation and characterization of an airway epithelial cell line for stable expression of CFTR variants	https://doi.org/10.1016/j.jcf.2015.11.010	Gottschalk, Laura B.; Vecchio-Pagan, Briana; Sharma, Neeraj; Han, Sangwoo T.; Franca, Arianna; Wohler, Elizabeth S.; Batista, Denise A. S.; Goff, Loyal A.; Cutting, Garry R.	2016	7	9
137	Cystic Fibrosis	Exploratory/ no specific feature	2D or 3D Culture	Cystic Fibrosis Bronchial Epithelial Cell Line (CF8Flp)	Model development - experim	Protein Expression	Medium / Low (Lab scale)	High Potential to become a disease model		Creation and characterization of an airway epithelial cell line for stable expression of CFTR variants	https://doi.org/10.1016/j.jcf.2015.11.010	Gottschalk, Laura B.; Vecchio-Pagan, Briana; Sharma, Neeraj; Han, Sangwoo T.; Franca, Arianna; Wohler, Elizabeth S.; Batista, Denise A. S.; Goff, Loyal A.; Cutting, Garry R.	2016	7	9
137	Cystic Fibrosis	Exploratory/ no specific feature	2D or 3D Culture	Cystic Fibrosis Bronchial Epithelial Cell Line (CF8Flp)	Model development - experim	Bioeleectric Properties	Medium / Low (Lab scale)	High Potential to become a disease model		Creation and characterization of an airway epithelial cell line for stable expression of CFTR variants	https://doi.org/10.1016/j.jcf.2015.11.010	Gottschalk, Laura B.; Vecchio-Pagan, Briana; Sharma, Neeraj; Han, Sangwoo T.; Franca, Arianna; Wohler, Elizabeth S.; Batista, Denise A. S.; Goff, Loyal A.; Cutting, Garry R.	2016	7	9
