Model no.	Disease area	Disease feature 	Disease feature 1	Disease feature 2	Disease feature 3	Cellular Input	Model	Category	Type	Cells	Cell culture type	Cell culture dimensions	3D type	Ex vivo	Applications	Biological endpoints	Throughput	Potential	Relevance	Status	Content	Predictive	Year	First Author Name	Link to Abstract (DOI)
323	Breast Cancer	Immunomodulation	immunomodulation			Myeloid-derived suppressor cells (MDSCss)	T cells	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	CD3(+) T cell proliferation, MDSCss titer	Low	Yes	Supportive	Proof of Concept	Low	No	2019	Safarzadeh, E	10.1002/jcp.26896
324	Lung Cancer	Immunotherapy	immunotherapy			TILs, CTLs	H441, U937, T2, H2023,  H441,  DFCI024, DFCI032,  H1299,  HCC-2935	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	T-cells proliferation, citotoxicity, 	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Peters, HL	10.1158/2326-6066.CIR-16-0141
325	Chronic Lymphocytic Leukemia	Cancer initiation and develop.	cancer initiation and dev			primary B-cells	B-lymphoid cell, Dakiki, EBV, WAS2, WAS4, WAS R86H cell lines 	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	migration,  S1P receptor 	Low	No	Direct	Proof of Concept	Low	No	2014	Sic, H	10.1016/j.jaci.2014.01.037
326	General	Virotherapy 	virotherapy 			n/a	Vero, HT-29, SW480, C32, A375, MDA-MB-231, 4T1, HepG2, and A-549	In vitro/In silico	Cells / Mathematical	Immortalized cells	Culture	2D	n/a	n/a	Disease therapy dev	citotoxicity, eIF2 , IFN, IRF3, 	Low	Yes	Supportive	Qualified externally	Low	No	2019	Liu, X	10.1128/JVI.01761-18
327	General	Immunomodulation	immunomodulation	 anti-cancer therapy		T-cells	Jurkat T	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	secreted kynurenine 	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Richards, T.	10.18632/oncotarget.25720
328	Melanoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies,  Hs 936.T , A2058 and Colo679,  WM983(B), 451 Lu, WM3918, and WM3912 ,  UACC1273 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	RNA profile, CTLA4	Low	No	Direct	Proof of Concept/Qualified externally	Low	No	2018	Mo, X	10.1158/0008-5472.CAN-17-1615
329	Head And Neck Squamous Cell Carcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	HPV status, Chemokine and cytokine	Low	Yes	Direct	Proof of Concept	Low	No	2015	Partlova, S	10.4161/21624011.2014.965570
330	Neuroblastoma	Immunotherapy	Immunotherapy	 biomarkers		NK cells	Tet-21/N cell line	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	MYCN, NKG2D , DNAM1, correlation	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Brandetti, E	10.1080/2162402X.2017.1316439
331	Esophageal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	TE-1, Eca-109 and Eca-9706, Biopsies	In vitro	Cells / Ex vivo	Immortalized cells	Culture	2D	n/a	Biopsies	Disease mechanism (exp/theor)	B7-H1, invasion	Low	No	Supportive	Proof of Concept/Qualified externally	Low	No	2014	Chen, L.	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4203217/
332	General	Immunotherapy	immunotherapy			n/a	n/a	In silico	Mathematical	n/a	n/a	n/a	n/a	n/a	Model/method dev - theor	SS1P	Low	Yes	Direct	Proof of Concept	Low	Yes	2014	Pak, Y	10.1371/journal.pone.0110716
333	General	Adoptive Cell Therapy	adoptive immunotherapy			n/a	T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Model/method dev - exp	T cell proliferation	Low	Yes	Direct	Proof of Concept	Low	No	2015	Perica, K	10.1021/acsnano.5b02829
334	General	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	MEFs 	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	IDO1- and TDO2, WARS, IFN gamma, GCN2-peIF2 alpha-ATF4 signaling	Low	No	Direct	Qualified externally	Low	No	2018	Adam, I	10.1080/2162402X.2018.1486353
335	Colon Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	n/a	In vitro	Cell free	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp/theor)	RNA profile, mutation profile	Low	Yes	Direct	Qualified externally	High	Yes	2018	Mao, YH	10.2147/CMAR.S171855
336	General	Identification and characterization of circulating cells or DNA	identification and characterization of circulating cells or DNA			n/a	liquid Biopsies (metastatic pancreatic cancer patients' Blood;)	In vitro	Cells / Cell free	Primary cell culture	MPS	2D	n/a	n/a	Model/method dev - exp	CTCS presence	Low	Yes	Direct	Proof of Concept	Low	No	2014	Sheng, WA	10.1039/c3lc51017d
337	Chronic Lymphocytic Leukemia	Immunotherapy	immunotherapy			n/a	B cells, Raji cells, Z138 cells	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, mAB internalization	Low	Yes	Direct	Proof of Concept	Low	No	2016	Lindorfer, MA	10.1016/j.molimm.2015.12.007
338	Breast Cancer	Immunotherapy	immunotherapy			T-cells	MDA-MB-231; MCF-7; and MCF-10A	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity, Runx2	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Tang, M	10.3892/ol.2018.9001
339	Lung Cancer	Immunotherapy	immunotherapy			293FT	A-549	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity	Medium	Yes	Supportive	Qualified internally	Low	No	2014	Ali, HAA	10.7314/APJCP.2014.15.2.611
340	Ovarian Cancer	Anti-Cancer Therapy	anti-cancer therapy			CTLs, Dcs	EOC 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	citotoxicity,  IFIN-gamma	Low	Yes	Supportive	Proof of Concept	Low	No	2014	Batchu, RB	10.1016/j.vaccine.2013.12.049
341	Prostate Cancer	Immunomodulation	immunomodulation	 immunotherapy	anti-cancer therapy	T-cells	Du-145, PC3, and LNCaP	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor) Disease therapy dev	citotoxicity, CTLA-4/CD152 and PD-L1/CD274, CD70, CD275/ICOSL, CD134L/OX40L, and CD137L/41BBL, IFN-gamma	Low	Yes	Supportive	Proof of Concept	Low	No	2014	Bernstein, MB	10.1089/cbr.2013.1578
342	General (Cell Lines As Instrumental)	Anti-Cancer Therapy	anti-cancer therapy			n/a	NCI-H125	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, antibosy stability	Low	Yes	Direct	Qualified externally	Low	No	2014	Martinez, LMA	10.1007/s10967-014-3402-9
343	General	Immunomodulation	immunomodulation			MDA-MB-468 and MCF7	T cells	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	WEE1, immunopotentation	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2015	Ghiasi, N	10.4103/0973-1482.147746
344	Pancreatic Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Panc-1 and SW1990	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	IL-32α, metastasis, and invasion, JAK2/STAT3, N-cadherin, Vimentin, Snail, Zeb1	Low	No	Direct	Qualified externally	Low	No	2016	Chen, JF	10.2147/OTT.S103581
345	Ovarian Cancer	Anti-Cancer Therapy	anti-cancer therapy	 biomarkers		n/a	SKOV-3, A2780, OV-90, FHIOSE118hi 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	HLA-A2/MIF, citotoxicity	Low	No	Supportive	Qualified externally	Low	No	2016	Patterson, AM	10.1158/1535-7163.MCT-15-0658
346	Head And Neck Cancer	Immunomodulation	immunomodulation			Myeloid-derived suppressor cell	iNKT cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	T cells proliferation, correlation	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Horinaka, A	10.1111/cas.12866
347	Chronic Myeloid Leukemia	Anti-Cancer Therapy	anti-cancer therapy			NK cells	K562 cells	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev Drug dev/testing	citotoxicity, degranulation and cytokine production	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Ren, XY	10.1007/s12026-016-8800-3
348	Hepatocellular Carcinoma	Patient Stratification	Patient Stratification	 Biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	Treg-like CCR7(+) mononuclear cells titer, CD45RA, CD25, FOXP3	Low	Yes	Direct	Proof of Concept	Low	Yes	2016	Shi, JY	10.1007/s13277-015-4647-9
349	Lung Cancer	Anti-Cancer Therapy	anti-cancer therapy	 biomarkers		n/a	QU-DB (large-cell lung carcinoma) and A-549 (adenocarcinoma)	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, Nipsnapl and glycine-tRNA ligase (GRS)	Low	Yes	Direct	Qualified externally	Low	No	2016	Khaghanzadeh, N	10.3892/ol.2016.5352
350	Gastric Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies, several immortalized cell lines, NK cells	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor) Disease therapy dev	NKG2D , MICA, MICB, ULBP-2, and ULBP-3, MMP-9, correlation, RNA profile	Low	Yes	Supportive	Proof of Concept/Qualified externally	High	No	2016	Shiraishi, K	10.1007/s00535-016-1197-x
351	General (Cells As Instrumental)	Anti-Cancer Therapy	anti-cancer therapy	 Immunotherapy		T-cells	Colon adenocarcinoma cells LS174T and LoVo, MRC-5 normal fetal lung fibroblast cells, CCD-18Co a normal Colon fibroblast cell line	In vitro	Cells	Immortalized cells	Coculture	3D	Spheroids	n/a	Drug dev/testing Model/method dev - exp	infiltration, fibroblast citotoxicity, T cells  activation; increased cytokine secretion, IL-2	Low	Yes	Direct	Proof of Concept	Low	No	2017	Herter, S	10.1007/s00262-016-1927-1
352	Breast Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	 SK-BR-3	In vitro	Cells	Immortalized cells	Culture	2D/3D	Spheroids	n/a	Drug dev/testing	citotoxicity	Low	Yes	Supportive	Qualified externally	Low	No	2017	Balalaeva, IV	10.1080/2162402X.2017.1338998
353	Colon Cancer	Anti-Cancer Therapy	anti-cancer therapy	 immunoomdulation		Human monocyte-derived DC, normal allogeneic T Lymphocytes (MLR)	 HCT-116	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	CD83, HLA-DR, CD80, CD86, IFN-g	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	De Almeida, CV	10.3892/or.2017.5692
354	Glioblastoma Multiforme	Anti-Cancer Therapy	anti-cancer therapy			n/a	primary high-grade glioma cell line (HGG, representing glioma stem cells) SB2b	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, calcitonin receptor (CTR) , drug uptake	Low	Yes	Direct	Qualified internally	Low	No	2017	Gilabert-Oriol, R	10.1007/s00262-017-2013-z
355	General (Cell Lines As Instrumental)	Immunomodulation	immunomodulation			Membrane vesicles and TDEs from multiple head and neck cancer cell line	 CD3(+) CD8(+) T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	T cell proliferation	Low	Yes	Supportive	Proof of Concept	Low	No	2017	Maybruck, BT	10.1186/s40425-017-0269-7
356	Ovarian Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	B76 and MDHA-2774	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity	Low	Yes	Supportive	Qualified externally	Low	No	2017	Andersson, Y	10.18632/oncotarget.18694
357	Colorectal Cancer	Immunotherapy	immunotherapy			cytokine-induced-Killer	LoVo, HCT-116	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Wu, FH	10.18632/oncotarget.19638
358	General (Renal Cell Carcinoma As Instrumental)	Microenvironment	microenvironment			n/a	 renal cell carcinoma cells RCC4, UMRC2, Caki-2, A-498 and 786–0	In vitro	Cells	Immortalized cells	Culture	2D/3D	Spheroids	n/a	Disease mechanism (exp/theor)	TAP2, LMP2 and 7, HIF	Medium	No	Supportive	Qualified externally	Low	No	2017	Sethumadhavan, S	10.1371/journal.pone.0187314
359	Breast Cancer	Immunotherapy	immunotherapy			PBMCs	MCF-7, MCF-7 TamR, T47D, SK-BR-3, MDA-MB-231	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	epigenetic profile, PD-L1 and HLA-DR	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Terranova-Barberio, M	10.18632/oncotarget.23169
360	Pancreatic Adenocarcinoma	Anti-Cancer Therapy	anti-cancer therapy			n/a	Panc03.27	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	drug internalization, citotoxicity, LAMP1, ROS levels	Medium	No	Direct	Qualified externally	Low	No	2017	Lund, K	10.1186/s13046-017-0662-6
361	Nasopharyngeal Cancer	Anti-Cancer Therapy	anti-cancer therapy			n/a	CNE2	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity, proliferation	Low	No	Direct	Qualified externally	Low	No	2018	Liu, XT	10.1177/1533033818762910
362	Colon Cancer	Anti-Cancer Therapy	anti-cancer therapy			gamma delta T cells	SW480, SW620, HCT-116	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	Wnt pathway,  proliferation and cytolytic activity, mTOR, Bcl-2, CD62L or CCR5	Low	Yes	Direct	Proof of Concept/Qualified externally	Low	No	2018	Chen, YQ	10.1016/j.yexcr.2017.11.003
363	Penile Squamous Cell Carcinoma	Biomarkers	biomarkers			n/a	Biopsies	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	correlation, LAMC2 , lymph node metastasis, migration, invasion	Low	Yes	Supportive	Proof of Concept	Low	Yes	2018	Zhou, QH	10.2147/CMAR.S171912
364	Colorectal Cancer	Anti-Cancer Therapy	anti-cancer therapy			dendritic cells	SW620 	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Drug dev/testing	maturation and  number of CTLs, PD-L1, citotoxicity	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Hu, ZL	10.3892/ol.2018.7978
365	General	Immunotherapy	immunotherapy			macrophages 	B16-F10,  LCC1	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev Drug dev/testing	AK2 and STAT1, miR-21	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Xi, JJ	10.1038/s41388-018-0178-3
366	Breast Cancer	Anti-Cancer Therapy	anti-cancer therapy	 immunoomdulation		dendritic cells, T-Regs, CTLs	MCF-7	In vitro	Cells	Immortalized cells / primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	citotoxicity, CD83, CD86 and major histocompatibility complex (MTIC)-II, LDH, FOXP3 , IL-12 and IFN-gamma 	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2018	Abdellateif, MS	10.3892/ol.2018.8631
367	Head And Neck Cancer	Immunotherapy	immunotherapy (photoimmunotherapy)			n/a	scc-U2, scc-U8, and OSC19, A431	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	EGFR, drug cellular uptake and localization, survival,  apoptosis/necrosis	Low	No	Direct	Qualified externally	Low	No	2018	Peng, W	10.1002/lsm.22930
368	Colorectal Cancer	Immunotherapy	immunotherapy			autologous T cells,	Myeloid-derived suppressor cells (MDSCs) 	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	MDSCs suppression, PDL1, DC HIL, 	Low	Yes	Supportive	Proof of Concept	Low	No	2019	Kobayashi, M	10.1158/1078-0432.CCR-18-0330
369	Breast Cancer	Adoptive Cell Therapy	autologous adoptive cell therapy			TILs	P815 mastocytoma cells	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Drug dev/testing	4-1BB, T cells count, citotoxicity, IFN-gamma	Low	Yes	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Harao, M	10.1158/2326-6066.CIR-16-0364
370	General	Immunomodulation	immunomodulation			monocyte-derived DCs (MoDCs)	T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	IL-6, STAT3, (HLA)-DR and CD86, ARG1, COX2, CTSL 	Low	No	Supportive	Proof of Concept	Low	No	2016	Ohno, Y	10.1007/s00262-015-1791-4
371	Melanoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		TILs	Biopsies	In vitro	Cells	Primary cell culture	Coculture	2D	n/a	n/a	Disease therapy dev	gene profiling, ALG12, GUSB, RPLP0, KRBA2, and ADAT2, IFN gamma and TNF alpha	Low	Yes	Supportive	Qualified externally	Low	No	2016	Neubert, NJ	10.3389/fimmu.2016.00326
372	General (Melanoma As Instrumental)	Adoptive Cell Therapy	adoptive cell therapy			n/a	TILs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	CD25, CD69, 4-1BB, and OX40, IFN-gamma, 	Low	No	Supportive	Proof of Concept	Low	No	2019	Weinstein-Marom, H	10.1097/CJI.0000000000000252
373	Melanoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	SKMEL-28 cells	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	PTEN, IL-12	Low	No	Supportive	Qualified externally	Low	No	2014	Dong, Y	10.1038/onc.2013.409
374	Leukoplakia	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		TILs	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	CD68 (pan-M phi), CD80 (M1 M phi), CD163 (M2 M phi), CD4 (helper T cells: Th), CD8 (cytotoxic T cells), CXCR3, CCR5 (Th1), CCR4 (Th2), signal transducer and activator of transcription (STAT1), phosphorylated STAT1 (pSTAT1) and chemokine CXCL9, correlation	Low	No	Direct	Proof of Concept	Low	No	2015	Mori, K	10.1186/s12885-015-1587-0
375	Colorectal Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Cell free	n/a	n/a	n/a	n/a	n/a	Disease mechanism (exp/theor)	antigenome profile, immuno profiling, correlation, CCR8, BCMA 	High	Yes	Direct	Proof of Concept	High	Yes	2015	Angelova, M	10.1186/s13059-015-0620-6
376	Head And Neck Squamous Cell Carcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Tumor-associated B cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	CD86, CD21, IgD, CD27, correlation	Low	No	Direct	Proof of Concept	Low	No	2019	Lechner, A	10.1080/2162402X.2018.1535293
377	Breast Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	TIL count, PD-L1, RNA profile	High	Yes	Direct	Proof of Concept	High	No	2018	Szekely, B	10.1093/annonc/mdy399
378	Breast Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		T-cells	SV-BR-1-GM	In vitro	Cells	Immortalized cells / primary cell culture	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	HLA-DRA, HLA-DRB3, HLA-DMA, HLA-DMB, B2M, HLA-A, HLA-B), ADA (encoding adenosine deaminase), ADGRE5 (CD97), CD58 (LFA3), CD74 (encoding invariant chain and CLIP), CD83, CXCL8 (IL8), CXCL16, HLA-F, IL6, IL18, and KITLG, 	Low	No	Supportive	Proof of Concept	Low	No	2018	Lacher, MD	10.3389/fimmu.2018.00776
379	Breast Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	immunoproteomic profile, genomic profile	Low	Yes	Direct	Proof of Concept	Medium	No	2017	Qendro, V	10.1002/pmic.201600318
380	Prostate Cancer	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	CD3, CD8, FOXP3, and CD68, Infiltrating Lymphocytes and Macrophages	High	No	Direct	Proof of Concept	High	No	2016	Zeigler-Johnson, C	10.1371/journal.pone.0159109
381	Oral Squamous Cell Carcinoma (Oscc) 	Immunotherapy	immunotherapy			tumor lysate	iNKT	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease therapy dev	Th-like cytokine profiles, IL-4, 	Low	No	Supportive	Proof of Concept	Low	No	2015	Singh, AK	10.1111/odi.12238
382	General	Anti-Cancer Therapy	anti-cancer therapy			n/a	TC-1	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	SOX-2	Low	Yes	Supportive	Qualified externally	Low	No	2014	Polakova, I	10.3892/ijo.2014.2402
383	Prostate Cancer	Immunotherapy	immunotherapy			n/a	Myeloid-derived suppressor cells (MDSCs) 	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	STAT3 , T cells IFN gamma and granzyme-B	Low	Yes	Direct	Proof of Concept	Low	No	2015	Hossain, DMS	10.1158/1078-0432.CCR-14-3145
384	Salivary Adenoid Cystic Carcinoma	Cancer initiation and develop.	cancer initiation and dev			n/a	SACC-83 and HN13 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	PD-L1, Cell migration and invasion activity	Low	No	Supportive	Qualified externally	Low	No	2018	Wang, Y	10.1080/15384101.2018.1489177
385	Haematological Cancer	Virotherapy 	virotherapy 			n/a	RPMI-8226, IM-9, K562, THP-1, MOLT4, CCRF-CEM, Ramos, U937	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	RNA profile	Low	No	Direct	Qualified externally	Low	No	2017	Lee, NH	10.18632/oncotarget.13598
386	Esophageal Cancer	Cancer initiation and develop.	cancer initiation and dev			n/a	Eca-109 	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	PD-L1, EMT transition	Low	No	Direct	Qualified externally	Low	No	2017	Chen, LJ	10.1159/000480000
387	Lung Adenocarcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	A-549 and LETP-2	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	PTTG1, TGFB1/SMAD3, RNA profile, migration, invation, CyclinD1 and MMP-2	Low	No	Direct	Qualified externally	High	No	2015	Li, WH	10.1177/0306419015572073
388	Colorectal Cancer	Immunotherapy	immunotherapy			n/a	T-Regs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	FOXP3,  Treg-specific demethylated region (TSDR)	Low	No	Direct	Proof of Concept	Low	No	2015	Zhuo, CH	10.1007/s12026-014-8616-y
389	Glioblastoma Multiforme	Immunotherapy	immunotherapy			n/a	T-Regs	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	PD-1, RNA profile, IFN-gamma, T-Regs exhaustion	Low	No	Direct	Proof of Concept	Low	No	2016	Lowther, DE	10.1172/jci.insight.85935
390	Melanoma	Immunotherapy	immunotherapy			n/a	CD4(+) T cells 	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	T-cell response, PD-1, CD27, FAS, CD45RA, CCR7, correlation	Low	No	Direct	Proof of Concept	Low	No	2018	Takeuchi, Y	10.1093/intimm/dxx073
391	Melanoma	Immunotherapy	immunotherapy			RAW 264.7 	 B16-F10 melanoma	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	Plasminogen activator inhibitor-1, macrophages infiltration,  FAK, LRP1	Low	No	Supportive	Qualified externally	Low	No	2014	Thapa, B	10.1016/j.bbrc.2014.07.070
392	Gastric Cancer	Immunotherapy	immunotherapy			n/a	liquid Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease therapy dev	tumor-infiltrating T-cells  distribution, TIm-3, PD-1,  IFN-gamma	High	No	Direct	Proof of Concept	Low	No	2017	Yuan, L	10.1186/s12935-017-0489-4
393	Pulmonary Lymphoepithelioma-Like Carcinoma	Cancer initiation and develop.	cancer initiation and dev	 biomarkers		n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	PDL-1, correlation	Low	No	Direct	Proof of Concept	Low	No	2015	Jiang, L	10.2147/OTT.S84234
394	General	Immunomodulation	immunomodulation			n/a	T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor)	IL-15, ILR-15	Low	No	Supportive	Proof of Concept	Low	No	2016	Desbois, M	10.4049/jimmunol.1600019
395	General (Colon Cancer As Instrumental)	Immunotherapy	immunotherapy			n/a	Biopsies	In vitro	Ex vivo	n/a	n/a	n/a	n/a	Biopsies	Disease mechanism (exp/theor)	VentX, Tumor-associated macrophages (TAMs)  count	Low	Yes	Supportive	Proof of Concept	Low	No	2018	Le, Y	10.1038/s41467-018-04567-0
396	Leukaemia And Lymphoma	Immunomodulation	immunomodulation			n/a	HSB-2, Ramos, and Daudi cells	In vitro	Cells	Immortalized cells	Culture	2D	n/a	n/a	Drug dev/testing	citotoxicity	Low	No	Supportive	Qualified externally	Low	No	2014	Holmes, SE	10.3109/08923973.2014.971964
397	Gastric Cancer	Immunotherapy	Immunotherapy	 cancer initiation and dev		CIKs	SGC-7901 and AGS	In vitro	Cells	Immortalized cells	Coculture	2D	n/a	n/a	Disease mechanism (exp/theor)	PD-L1, citotoxicity,  cell viability, migration, invasion, cell cycle, apoptosis	Medium	No	Supportive	Proof of Concept/Qualified externally	Low	No	2017	Li, J.	10.1159/000460504
398	General (Melanoma As Instrumental)	Immunotherapy	immunotherapy			n/a	T cells	In vitro	Cells	Primary cell culture	Culture	2D	n/a	n/a	Disease mechanism (exp/theor) Disease therapy dev	epitope recognition	Low	Yes	Supportive	Proof of Concept	Low	No	2016	Stronen, E	10.1126/science.aaf2288
