Model no.	Disease area	Disease feature	Category	Type	Application/ aim	Biological or disease-specific endpoint	Assay Throughput/ Content	Relevance	Potential/Future developments	DOI	Author name	Year
80	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Electrophysiological characterisation	Low-medium/low	Low - A diagnostic immunosensor for Abeta	From the author - Future work would seek to validate the biosensor in patient fluids obtained from AD and agematched control patients. There is also scope to improve further the sensitivity and specificity of the sensor, for example by investigating other PrP peptides and by modifying the length of the linker between polymer and bioreceptor	http://dx.doi.org/10.1016/j.bios.2013.12.036	Rushworth	2014
81	AD	Neuronal loss	Lab/brain on chip or microfluidic system	Other	Disease mechanism (exp/theor)	Other	Low-medium/medium	Low - Using BDNF transport as a tool for monitoring neuronal dysfunction	This prrof of concept was delivered using rat primaries, could be shown in human cells, also could be used in disease specific model	http://dx.doi.org/10.3791/51899	Zhao	2014
82	AD	Protein aggregation	Computational/in silico	In silico model	Disease therapy developm	Other	Low-medium/low	Low - Specific binding sites investigated between abeta and  [Re(CO)3(dppz)(Py)]+	This approach could be used in the design of Abeta aggregate inhibiting compounds	10.1016/j.chempr.2017.09.011 	Aliyan	2017
83	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Diagnosis of disease	Other	Low-medium/low	low - detection of abeta 100pg/ml limiti	should be replicated in biofluid, compared with other Abeta detection mechanisms	10.1371/journal.pone.0098992	Lee	2014
84	AD	Protein aggregation	Organoid model 	Non-differentiated human stem cells : iPSC	Drug developm/ testing	Protein dysfunction: multiple	Low-medium/high	Improve the prediction of current in-vitro models	Integration with BBB technologies for improving tissue perfusion.	10.1371/journal.pone.0161969	Raja W. K.	2016
85	Several NDD	Protein aggregation	Lab/brain on chip or microfluidic system	Proteins	Model/method validation	Protein dysfunction: amyloid peptide (any version)	High (automatic)/high	Direct, structural and quantitative automated analysis of NDD related polypeptides	Powerful tool for the molecular characterization and quantification of biomolecular interactions, as diverse as antigen–antibody and protein– carbohydrate interactions	10.1007/s13361-014-0904-1	Slamnoiu S.	2014
86	Several NDD	Protein aggregation	Biochemical/cell-free assay	Proteins	Model/method validation	Protein dysfunction: amyloid peptide (any version)	High (automatic)/high	Direct, structural and quantitative automated analysis of NDD related polypeptides	Powerful tool for the molecular characterization and quantification of biomolecular interactions, as diverse as antigen–antibody and protein– carbohydrate interactions	10.1007/s13361-014-0904-1	Slamnoiu S.	2014
87	AD	Protein aggregation	Lab/brain on chip or microfluidic system	Fibrils	Diagnosis of disease	Protein dysfunction: multiple	High (automatic)/high	Rapid, ultrasensitive and highly parallel preclinical and clinical diagnosis through the detection of early pathological propagons in protein misfolding and aggregation (PMA) diseases for personalized medicine	Establishment of powerful high-throughput screening platforms for the identification of novel aggregation inhibitors, both in the context of stabilizing reagents for biopharmaceutical products or as drugs to cure PMA diseases	10.1021/acs.analchem.7b03279	Pfammatter M.	2017
88	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	High (automatic)/high	Understand the oligomerization-nucleation process in AD amyloid in a rapid time scale.	 Capture the oligomerization and fibrillization dynamics of AD amyloids	10.1039/c7cp05695h	Sun Y.	2017
89	AD	Protein aggregation	Computational/in silico	In silico model	Model/method development - theoret	Protein dysfunction: amyloid peptide (any version)	High (automatic)/medium	The MP-SPR results together with in silico modeling provide affinity data for the SLF-Aβ interaction and allow us to develop a new general method for examining protein aggregation.	Development of a new general method for examining protein aggregation.	10.1021/acs.jpcc.7b06164	Hilt S.	2017
90	PD	Protein aggregation	Computational/in silico	In silico model	Disease therapy developm	Protein dysfunction: a-synuclein	Low-medium/low	Design molecules to inhibit a-syn dimerization	Design better small molecules to prevent proteins aggregation and fibrilation.	10.1021/acs.jcim.7b00210	Zhang T.	2017
91	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Use computational tools to predicst how Aβ accumulation translates across spatial scales into networklevel changes in EEG theta and gamma rhythms	Use in silico models to confirm and understand physiological disturbance of AD	10.1016/j.neunet.2017.06.002	Matsuzawa T.	2017
92	AD	Protein aggregation	Computational/in silico	In silico model	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Validate the efficacy of drug candidates in affecting amyloid-B formation.	Use computational models as tool to predic the interaction of new drugs with the disease features.	10.1021/acs.jpcb.7b05189	Kalhor H.R.	2017
93	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Understand the physiological role of human cystatin C in the brain of AD patients	This study lays the ground work for future comparisons of dynamics of these complexes with AB–AB dimer to shed more light on the interactions among AB, HCC and AD.	10.1142/S0219633618500013	Sharma A. K.	2018
94	AD	Cholinergic dysfunction/degeneration	Computational/in silico	In silico model	Disease therapy developm	Cholinergic signalling/esterases	High (automatic)/low	Evaluate the pharmacological properties of 4 different compounds for AD treatment.	In silico validation of multi-target pharmacological treatmnets for AD	10.2174/1871527317666180115162422	Kanzal I.	2018
95	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Refine the dock-lock model of AB fibril elongation	Further improve the model to resolve literature inconsistencies by enriching the atomistic picture, studying also the even end of the protofibril and by changing the reference model.	10.1021/acs.jctc.7b00662]	Bacci M.	2017
96	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Cholinergic signalling/esterases	High (automatic)/low	Develop a predictive QSAR model with mechanistic insights in the binding of AChE inhibitors capable of explaining the experimental phenomenon of ligand recognition and binding to AChE.	Reliable model that can be used to design novel inhibitors with new scaffolds. The linked pharmacophore map can fetch novel leads which have the potential to be transformed into a clinical candidate thanks to the preliminary data obtained by the model.	10.1080/07391102.2014.931824	Martis E. A. F.	2015
97	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Provide insights into the structural changes that characterize the kinetic pathways by which amyloid-β peptides convert from monomers to oligomers to fibrils.	Modeling of the AB fibrils formation from monomer -> oligomer -> fibrils, capable to identify two distinct kinetic on-pathways toward U-shape protofilaments.	10.1371/journal.pcbi.1004258	Cheon M.	2015
98	AD	Protein aggregation	Computational/in silico	In silico model	Disease therapy developm	Protein dysfunction: amyloid peptide (any version)	High (automatic)/low	Investigation of the binding affinity of tripeptides with AB fibrils to promote their disruption. The results highlight the importance of multiple complexes of heterocycles forming by tryptophan and proline residues in tripeptides for their tight binding and depolymerizing Aβ fibrils.	Better understanding and modeling of the tripeptides action on AB fibrils for future drug development.	10.1021/acs.jpcb.5b00006	Man H. V.	2015
99	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Protein dysfunction: Tau (phosphorylation)	Low-medium/low	Compare the propensities of different peptide combinations to form oligomers	Potential explanation of the physical nature of the aggregation of 3R and 4R Tau proteins.	10.1021/acs.jpcb.5b00175	Ganguly P.	2015
100	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Examine the possible regulatory effects of off-pathways processes in the rate of amyloid formation.	Starting point for more advanced studies about the physical principles of Amyloids aggregations.	10.1016/j.febslet.2015.01.032	Hall D.	2015
101	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Investigation of the structural changes of full oligomers when inserted in the cellular membrane .	Improve current models of oligomers/cell membrane interaction.	10.1039/c6ra26461a	Ngo S. T.	2017
102	AD	Protein aggregation	Computational/in silico	In silico model	Disease mechanism (exp/theor)	Protein dysfunction: amyloid peptide (any version)	Low-medium/low	Better understanding of the moleular mechanisms involved in the spontaneous aggregation of AB peptides.	Method to get new insihts on the role of non-fibrillar oligomers in the early template-free aggregation of AB17-42 monomers	10.1039/c6mb00441e	Dorosh L.	2017
103	AD	Cholinergic dysfunction/degeneration	Computational/in silico	In silico model	Disease therapy developm	Cholinergic signalling/esterases	High (automatic)/low	identify dual binding site of AChEIs by employing sequential virtual screening (VS) techniques followed by bioassay analysis.	Guidance for the identification of more potent AChEIs	10.1007/s00044-016-1716-6	Patil S.	2016
